iter	RMSE
0	0.4820481151
1	0.4753191072
2	0.4682857635
3	0.4619570055
4	0.4569296127
5	0.4516215037
6	0.4459222222
7	0.4419144879
8	0.4374216626
9	0.4328968991
10	0.4295822952
11	0.425183496
12	0.4218305837
13	0.4180399839
14	0.4143322033
15	0.4106875074
16	0.4072316385
17	0.4040877981
18	0.4011794781
19	0.3986827597
20	0.3960361116
21	0.3936839644
22	0.3912015038
23	0.3884771347
24	0.3864330291
25	0.3842119242
26	0.3826404406
27	0.3807019929
28	0.3787909616
29	0.3776112416
30	0.3759764027
31	0.3744966086
32	0.3729533124
33	0.372385606
34	0.3713612965
35	0.3702601806
36	0.3691451148
37	0.3678998904
38	0.3671044091
39	0.3661924196
40	0.3650302705
41	0.3640270157
42	0.363102651
43	0.3622364328
44	0.3614774987
45	0.3605908369
46	0.3596372397
47	0.3594309839
48	0.3586562426
49	0.3577980207
50	0.3571132165
51	0.3564433357
52	0.3558771657
53	0.3551923095
54	0.3548462846
55	0.3540498988
56	0.3535238891
57	0.352910667
58	0.3524156146
59	0.3519933269
60	0.3515445501
61	0.3510327909
62	0.3505722077
63	0.3501766277
64	0.3499214653
65	0.3496155113
66	0.349030808
67	0.3486253883
68	0.3481378738
69	0.3478999488
70	0.3473923298
71	0.3468591708
72	0.3465108681
73	0.3460968201
74	0.3458030519
75	0.3455462479
76	0.345309969
77	0.3449854492
78	0.3446602874
79	0.3443586346
80	0.3440673402
81	0.3438156721
82	0.3436151575
83	0.3434327444
84	0.3431451512
85	0.3428288375
86	0.3425601634
87	0.3423718364
88	0.3423175838
89	0.3421773476
90	0.3419959951
91	0.3417534638
92	0.3414094372
93	0.3413245198
94	0.3411784989
95	0.3408455451
96	0.3407511223
97	0.3405103288
98	0.3401601994
99	0.3398218247
100	0.3395590227
101	0.3392334597
102	0.3388714793
103	0.3384907978
104	0.3383413148
105	0.3381648408
106	0.3379678176
107	0.3375367242
108	0.3373648238
109	0.3371159159
110	0.3368643964
111	0.3366960224
112	0.3366210152
113	0.3364502359
114	0.3363647991
115	0.3359947048
116	0.3358604965
117	0.3355996374
118	0.3354059065
119	0.3353196614
120	0.3349266329
121	0.3346058455
122	0.3344167077
123	0.3341852773
124	0.3339719767
125	0.3337897421
126	0.333651505
127	0.3335249895
128	0.3332386262
129	0.3332103696
130	0.3331158846
131	0.333047897
132	0.3329218334
133	0.3326134483
134	0.3323596456
135	0.3322551063
136	0.3321265169
137	0.3319240529
138	0.331664429
139	0.3314156439
140	0.331200716
